country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,1300,,,,,1300,,,,,1000,,,,,710,,,,,460
Albania,48,,,,,43,,,,,39,,,,,31,,,,,27
Algeria,220,,,,,180,,,,,140,,,,,110,,,,,97
Angola,1200,,,,,1200,,,,,890,,,,,650,,,,,450
Argentina,71,,,,,60,,,,,63,,,,,69,,,,,77
Armenia,46,,,,,47,,,,,38,,,,,34,,,,,30
Australia,10,,,,,13,,,,,9,,,,,7,,,,,7
Austria,10,,,,,7,,,,,5,,,,,5,,,,,4
Azerbaijan,56,,,,,81,,,,,65,,,,,52,,,,,43
Bahamas,52,,,,,56,,,,,56,,,,,47,,,,,47
Bahrain,23,,,,,21,,,,,22,,,,,21,,,,,20
Bangladesh,800,,,,,560,,,,,400,,,,,330,,,,,240
Barbados,120,,,,,39,,,,,49,,,,,41,,,,,51
Belarus,37,,,,,28,,,,,31,,,,,20,,,,,4
Belgium,10,,,,,10,,,,,9,,,,,8,,,,,8
Belize,71,,,,,32,,,,,100,,,,,77,,,,,53
Benin,770,,,,,660,,,,,530,,,,,430,,,,,350
Bhutan,1000,,,,,670,,,,,430,,,,,270,,,,,180
Bolivia,450,,,,,360,,,,,280,,,,,240,,,,,190
Bosnia and Herzegovina,18,,,,,14,,,,,10,,,,,9,,,,,8
Botswana,140,,,,,210,,,,,350,,,,,330,,,,,160
Brazil,120,,,,,96,,,,,81,,,,,67,,,,,56
Brunei,29,,,,,25,,,,,24,,,,,25,,,,,24
Bulgaria,24,,,,,23,,,,,28,,,,,13,,,,,11
Burkina Faso,700,,,,,560,,,,,450,,,,,370,,,,,300
Burundi,1100,,,,,1100,,,,,1000,,,,,910,,,,,800
Cambodia,830,,,,,750,,,,,510,,,,,340,,,,,250
Cameroon,670,,,,,720,,,,,730,,,,,720,,,,,690
Canada,6,,,,,7,,,,,7,,,,,11,,,,,12
Cape Verde,200,,,,,200,,,,,170,,,,,110,,,,,79
Central African Republic,930,,,,,1000,,,,,1000,,,,,1000,,,,,890
Chad,920,,,,,1000,,,,,1100,,,,,1100,,,,,1100
Chile,56,,,,,40,,,,,29,,,,,26,,,,,25
China,120,,,,,84,,,,,61,,,,,45,,,,,37
Colombia,170,,,,,130,,,,,130,,,,,100,,,,,92
Comoros,440,,,,,380,,,,,340,,,,,310,,,,,280
"Congo, Dem. Rep.",930,,,,,870,,,,,770,,,,,660,,,,,540
"Congo, Rep.",420,,,,,480,,,,,540,,,,,550,,,,,560
Costa Rica,38,,,,,45,,,,,47,,,,,50,,,,,40
Cote d'Ivoire,710,,,,,660,,,,,590,,,,,510,,,,,400
Croatia,8,,,,,14,,,,,11,,,,,14,,,,,17
Cuba,63,,,,,61,,,,,63,,,,,67,,,,,73
Cyprus,17,,,,,17,,,,,15,,,,,12,,,,,10
Czech Republic,15,,,,,9,,,,,7,,,,,7,,,,,5
Denmark,13,,,,,19,,,,,8,,,,,7,,,,,12
Djibouti,290,,,,,290,,,,,290,,,,,220,,,,,200
Dominican Republic,220,,,,,170,,,,,130,,,,,130,,,,,150
Ecuador,180,,,,,150,,,,,130,,,,,110,,,,,110
Egypt,230,,,,,150,,,,,100,,,,,78,,,,,66
El Salvador,150,,,,,130,,,,,110,,,,,94,,,,,81
Equatorial Guinea,1200,,,,,1000,,,,,450,,,,,270,,,,,240
Eritrea,880,,,,,550,,,,,390,,,,,300,,,,,240
Estonia,48,,,,,46,,,,,28,,,,,23,,,,,2
Ethiopia,950,,,,,880,,,,,700,,,,,510,,,,,350
Fiji,32,,,,,33,,,,,31,,,,,29,,,,,26
Finland,7,,,,,5,,,,,5,,,,,6,,,,,5
France,13,,,,,13,,,,,10,,,,,8,,,,,8
Gabon,270,,,,,260,,,,,270,,,,,260,,,,,230
Gambia,700,,,,,650,,,,,520,,,,,430,,,,,360
Georgia,63,,,,,75,,,,,58,,,,,61,,,,,67
Germany,13,,,,,9,,,,,7,,,,,7,,,,,7
Ghana,580,,,,,590,,,,,550,,,,,440,,,,,350
Greece,6,,,,,2,,,,,5,,,,,3,,,,,3
Grenada,34,,,,,32,,,,,27,,,,,25,,,,,24
Guatemala,160,,,,,160,,,,,130,,,,,120,,,,,120
Guinea,1200,,,,,1100,,,,,970,,,,,800,,,,,610
Guinea-Bissau,1100,,,,,1000,,,,,970,,,,,890,,,,,790
Guyana,180,,,,,170,,,,,220,,,,,280,,,,,280
Haiti,620,,,,,550,,,,,460,,,,,410,,,,,350
Honduras,220,,,,,180,,,,,160,,,,,130,,,,,100
Hungary,23,,,,,23,,,,,10,,,,,10,,,,,21
Iceland,8,,,,,7,,,,,7,,,,,6,,,,,5
India,600,,,,,480,,,,,390,,,,,280,,,,,200
Indonesia,600,,,,,420,,,,,340,,,,,270,,,,,220
Iran,120,,,,,72,,,,,48,,,,,30,,,,,21
Iraq,89,,,,,84,,,,,78,,,,,74,,,,,63
Ireland,6,,,,,4,,,,,6,,,,,2,,,,,6
Israel,12,,,,,10,,,,,9,,,,,7,,,,,7
Italy,10,,,,,6,,,,,4,,,,,5,,,,,4
Jamaica,59,,,,,62,,,,,83,,,,,89,,,,,110
Japan,12,,,,,9,,,,,10,,,,,7,,,,,5
Jordan,110,,,,,88,,,,,79,,,,,72,,,,,63
Kazakhstan,92,,,,,90,,,,,70,,,,,50,,,,,51
Kenya,400,,,,,460,,,,,490,,,,,450,,,,,360
Kuwait,11,,,,,10,,,,,9,,,,,8,,,,,14
Kyrgyz Republic,73,,,,,98,,,,,82,,,,,77,,,,,71
Lao,1600,,,,,1200,,,,,870,,,,,650,,,,,470
Latvia,57,,,,,58,,,,,43,,,,,21,,,,,34
Lebanon,52,,,,,46,,,,,38,,,,,31,,,,,25
Lesotho,520,,,,,540,,,,,690,,,,,720,,,,,620
Liberia,1200,,,,,1900,,,,,1300,,,,,1100,,,,,770
Libya,99,,,,,76,,,,,67,,,,,61,,,,,58
Lithuania,34,,,,,21,,,,,21,,,,,11,,,,,8
Luxembourg,6,,,,,11,,,,,11,,,,,17,,,,,20
"Macedonia, FYR",16,,,,,14,,,,,15,,,,,10,,,,,10
Madagascar,640,,,,,550,,,,,400,,,,,310,,,,,240
Malawi,1100,,,,,1000,,,,,840,,,,,630,,,,,460
Malaysia,53,,,,,44,,,,,39,,,,,34,,,,,29
Maldives,830,,,,,390,,,,,190,,,,,94,,,,,60
Mali,1100,,,,,930,,,,,740,,,,,620,,,,,540
Malta,14,,,,,13,,,,,12,,,,,10,,,,,8
Mauritania,760,,,,,690,,,,,630,,,,,560,,,,,510
Mauritius,68,,,,,66,,,,,28,,,,,32,,,,,60
Mexico,92,,,,,85,,,,,82,,,,,54,,,,,50
"Micronesia, Fed. Sts.",140,,,,,130,,,,,130,,,,,110,,,,,100
Moldova,62,,,,,60,,,,,39,,,,,25,,,,,41
Mongolia,120,,,,,110,,,,,96,,,,,84,,,,,63
Montenegro,8,,,,,10,,,,,11,,,,,9,,,,,8
Morocco,300,,,,,230,,,,,170,,,,,130,,,,,100
Mozambique,910,,,,,800,,,,,710,,,,,630,,,,,490
Myanmar,520,,,,,380,,,,,300,,,,,230,,,,,200
Namibia,200,,,,,200,,,,,280,,,,,310,,,,,200
Nepal,770,,,,,550,,,,,360,,,,,250,,,,,170
Netherlands,10,,,,,12,,,,,13,,,,,8,,,,,6
New Zealand,18,,,,,13,,,,,12,,,,,15,,,,,15
Nicaragua,170,,,,,150,,,,,130,,,,,110,,,,,95
Niger,1200,,,,,1100,,,,,870,,,,,720,,,,,590
Nigeria,1100,,,,,1000,,,,,970,,,,,820,,,,,630
